time	V(vc)
1.267656102447588e-03	5.867722e+00
1.267683523516484e-03	5.867692e+00
1.267711915993747e-03	5.867655e+00
1.267726051507578e-03	5.867635e+00
1.267732814421731e-03	5.867624e+00
1.267738123653346e-03	5.867616e+00
1.267743188626095e-03	5.867608e+00
1.267748956783053e-03	5.867599e+00
1.267754958598199e-03	5.867590e+00
1.267763778889641e-03	5.867576e+00
1.267771948902762e-03	5.867563e+00
1.267786228741424e-03	5.867541e+00
1.267801032479145e-03	5.867518e+00
1.267830639954589e-03	5.867471e+00
1.267869075212133e-03	5.867410e+00
1.267945945727219e-03	5.867288e+00
1.268092065519191e-03	5.867054e+00
1.268275760213554e-03	5.866759e+00
1.268528601903724e-03	5.866353e+00
1.268897649576738e-03	5.865760e+00
1.269492089798951e-03	5.864806e+00
1.269573195115816e-03	5.864676e+00
1.269737841543855e-03	5.864411e+00
1.269747584721094e-03	5.864396e+00
1.269752197614375e-03	5.864388e+00
1.269755728144717e-03	5.864382e+00
1.269758419719485e-03	5.864378e+00
1.269760530055165e-03	5.864375e+00
1.269762796491237e-03	5.864371e+00
1.269767329363381e-03	5.864364e+00
1.269776395107669e-03	5.864349e+00
1.269794526596247e-03	5.864320e+00
1.269830789573401e-03	5.864262e+00
1.269903315527708e-03	5.864145e+00
1.270048367436322e-03	5.863913e+00
1.270338471253552e-03	5.863447e+00
1.270918678888012e-03	5.862516e+00
1.270934888959378e-03	5.862490e+00
1.270967309102113e-03	5.862438e+00
1.271032149387582e-03	5.862334e+00
1.271075123762228e-03	5.862265e+00
1.271096354635993e-03	5.862231e+00
1.271109750196172e-03	5.862209e+00
1.271118285023496e-03	5.862195e+00
1.271124864731972e-03	5.862185e+00
1.271131727996219e-03	5.862174e+00
1.271139034707526e-03	5.862162e+00
1.271150149023114e-03	5.862144e+00
1.271170086703712e-03	5.862113e+00
1.271209962064908e-03	5.862049e+00
1.271289712787300e-03	5.861920e+00
1.271423407978056e-03	5.861706e+00
1.271602099425010e-03	5.861419e+00
1.271918008822859e-03	5.860912e+00
1.272519755804043e-03	5.859947e+00
1.273378918266949e-03	5.858569e+00
1.274705111243328e-03	5.856441e+00
1.276947250945417e-03	5.852844e+00
1.279370445585815e-03	5.848957e+00
1.281684569169733e-03	5.845244e+00
1.284040971619117e-03	5.841463e+00
1.286998838695799e-03	5.836717e+00
1.290485091461701e-03	5.831123e+00
1.294924428981971e-03	5.824000e+00
1.300404303513294e-03	5.815207e+00
1.308010919963685e-03	5.803002e+00
1.317610919963685e-03	5.787599e+00
1.327210919963685e-03	5.772194e+00
1.336810919963685e-03	5.756791e+00
1.346410919963686e-03	5.741386e+00
1.356010919963686e-03	5.725983e+00
1.365610919963686e-03	5.710578e+00
1.375210919963686e-03	5.695174e+00
1.384810919963687e-03	5.679770e+00
1.394410919963687e-03	5.664366e+00
1.404010919963687e-03	5.648962e+00
1.413610919963687e-03	5.633558e+00
1.423210919963688e-03	5.618155e+00
1.432810919963688e-03	5.602750e+00
1.442410919963688e-03	5.587347e+00
1.452010919963688e-03	5.571943e+00
1.461610919963688e-03	5.556539e+00
1.471210919963689e-03	5.541135e+00
1.480810919963689e-03	5.525731e+00
1.490410919963689e-03	5.510327e+00
1.500010919963689e-03	5.494923e+00
1.509610919963690e-03	5.479519e+00
1.510810919963689e-03	5.477594e+00
1.513210919963689e-03	5.473743e+00
1.518010919963689e-03	5.466041e+00
1.527610919963689e-03	5.450637e+00
1.537210919963690e-03	5.435234e+00
1.546810919963690e-03	5.419830e+00
1.556410919963690e-03	5.404427e+00
1.566010919963690e-03	5.389023e+00
1.575610919963691e-03	5.373620e+00
1.585210919963691e-03	5.358216e+00
1.594810919963691e-03	5.342813e+00
1.604410919963691e-03	5.327409e+00
1.614010919963692e-03	5.312006e+00
1.623610919963692e-03	5.296602e+00
1.633210919963692e-03	5.281199e+00
1.642810919963692e-03	5.265795e+00
1.652410919963692e-03	5.250392e+00
1.662010919963693e-03	5.234989e+00
1.671610919963693e-03	5.219585e+00
1.681210919963693e-03	5.204182e+00
1.690810919963693e-03	5.188779e+00
1.700410919963694e-03	5.173376e+00
1.710010919963694e-03	5.157972e+00
1.719610919963694e-03	5.142570e+00
1.729210919963694e-03	5.127166e+00
1.738810919963695e-03	5.111763e+00
1.748410919963695e-03	5.096360e+00
1.758010919963695e-03	5.080957e+00
1.767610919963695e-03	5.065554e+00
1.786810919963696e-03	5.034749e+00
1.796410919963696e-03	5.019346e+00
1.806010919963696e-03	5.003942e+00
1.815610919963696e-03	4.988540e+00
1.825210919963697e-03	4.973137e+00
1.834810919963697e-03	4.957735e+00
1.844410919963697e-03	4.942332e+00
1.854010919963697e-03	4.926929e+00
1.863610919963698e-03	4.911526e+00
1.882810919963698e-03	4.880721e+00
1.892410919963698e-03	4.865319e+00
1.902010919963699e-03	4.849916e+00
1.911610919963699e-03	4.834514e+00
1.921210919963699e-03	4.819111e+00
1.930810919963699e-03	4.803709e+00
1.940410919963699e-03	4.788307e+00
1.950010919963700e-03	4.772904e+00
1.959610919963700e-03	4.757502e+00
1.969210919963700e-03	4.742100e+00
1.978810919963700e-03	4.726697e+00
1.988410919963701e-03	4.711295e+00
1.998010919963701e-03	4.695893e+00
2.007610919963701e-03	4.680491e+00
2.017210919963701e-03	4.665089e+00
2.026810919963702e-03	4.649687e+00
2.036410919963702e-03	4.634284e+00
2.046010919963702e-03	4.618883e+00
2.055610919963702e-03	4.603481e+00
2.065210919963702e-03	4.588078e+00
2.074810919963703e-03	4.572677e+00
2.084410919963703e-03	4.557275e+00
2.094010919963703e-03	4.541873e+00
2.103610919963703e-03	4.526471e+00
2.113210919963704e-03	4.511069e+00
2.122810919963704e-03	4.495668e+00
2.132410919963704e-03	4.480266e+00
2.142010919963704e-03	4.464864e+00
2.151610919963705e-03	4.449463e+00
2.161210919963705e-03	4.434061e+00
2.170810919963705e-03	4.418660e+00
2.180410919963705e-03	4.403258e+00
2.190010919963706e-03	4.387856e+00
2.199610919963706e-03	4.372455e+00
2.209210919963706e-03	4.357054e+00
2.218810919963706e-03	4.341652e+00
2.228410919963706e-03	4.326252e+00
2.238010919963707e-03	4.310850e+00
2.245244800030007e-03	4.299245e+00
2.254844800030007e-03	4.283844e+00
2.255804800030007e-03	4.282305e+00
2.257724800030007e-03	4.279224e+00
2.261684800030007e-03	4.272872e+00
2.262404800030007e-03	4.271717e+00
2.263364800030007e-03	4.270177e+00
2.265284800030007e-03	4.267097e+00
2.265723422204381e-03	4.266393e+00
2.266600666553130e-03	4.264986e+00
2.266743695199786e-03	4.264757e+00
2.267029752493100e-03	4.264297e+00
2.267151325921834e-03	4.264102e+00
2.267194599698785e-03	4.264033e+00
2.267220532244805e-03	4.263991e+00
2.267245811344704e-03	4.263951e+00
2.267294299203152e-03	4.263873e+00
2.267391274920049e-03	4.263718e+00
2.267460143283695e-03	4.263607e+00
2.267496359790179e-03	4.263549e+00
2.267515186091639e-03	4.263519e+00
2.267523969666270e-03	4.263505e+00
2.267534548396389e-03	4.263488e+00
2.267539860083185e-03	4.263479e+00
2.267546032019401e-03	4.263469e+00
2.267551862371232e-03	4.263460e+00
2.267558587294412e-03	4.263449e+00
2.267570043600828e-03	4.263431e+00
