time	V(a)	V(b)	V(vc)	V(vr)	V(vs)
1.229870698679644e-04	5.865170e+00	4.264937e+00	2.911536e-01	1.489820e+01	1.021036e-01
1.285019395888426e-04	5.865170e+00	4.264937e+00	3.044400e-01	1.489820e+01	1.021036e-01
1.332584798954908e-04	5.865170e+00	4.264937e+00	3.158897e-01	1.489820e+01	1.021036e-01
1.381677786667243e-04	5.865170e+00	4.264937e+00	3.276970e-01	1.489820e+01	1.021036e-01
1.417997292326688e-04	5.865170e+00	4.264937e+00	3.364253e-01	1.489820e+01	1.021036e-01
1.454472135242919e-04	5.865170e+00	4.264937e+00	3.451831e-01	1.489820e+01	1.021036e-01
1.527421821075381e-04	5.865170e+00	4.264937e+00	3.626830e-01	1.489820e+01	1.021036e-01
1.575903091988801e-04	5.865170e+00	4.264937e+00	3.743019e-01	1.489820e+01	1.021036e-01
1.626438046585364e-04	5.865170e+00	4.264937e+00	3.864005e-01	1.489820e+01	1.021036e-01
1.677260420963270e-04	5.865170e+00	4.264937e+00	3.985565e-01	1.489820e+01	1.021036e-01
1.727659279652472e-04	5.865170e+00	4.264937e+00	4.105993e-01	1.489820e+01	1.021036e-01
1.789183908185359e-04	5.865170e+00	4.264937e+00	4.252860e-01	1.489820e+01	1.021036e-01
1.838797210460890e-04	5.865170e+00	4.264937e+00	4.371175e-01	1.489820e+01	1.021036e-01
1.887968532568676e-04	5.865170e+00	4.264937e+00	4.488295e-01	1.489820e+01	1.021036e-01
1.985624782568676e-04	5.865170e+00	4.264937e+00	4.720613e-01	1.489820e+01	1.021036e-01
2.051674087270076e-04	5.865170e+00	4.264937e+00	4.877532e-01	1.489820e+01	1.021036e-01
2.118012502705429e-04	5.865170e+00	4.264937e+00	5.034901e-01	1.489820e+01	1.021036e-01
2.206510848670311e-04	5.865170e+00	4.264937e+00	5.244543e-01	1.489820e+01	1.021036e-01
2.281348496684843e-04	5.865170e+00	4.264937e+00	5.421568e-01	1.489820e+01	1.021036e-01
