time	V(n001)	V(n003)
5.500016777786116e-03	9.999329e+00	-1.311522e+01
5.793073741014776e-03	-1.722950e+00	-1.311522e+01
5.874073741014786e-03	-4.962950e+00	-1.311521e+01
5.877073741014787e-03	-5.082950e+00	-1.310354e+01
5.878073741014787e-03	-5.122950e+00	-1.307068e+01
5.878727603779377e-03	-5.149104e+00	-1.298330e+01
5.879106669475486e-03	-5.164267e+00	-1.274957e+01
5.879382606425431e-03	-5.175304e+00	-1.229252e+01
5.879647823880182e-03	-5.185913e+00	-1.149359e+01
5.880090909587766e-03	-5.203636e+00	-9.492362e+00
5.880693623424526e-03	-5.227745e+00	-5.735342e+00
5.881404168216188e-03	-5.256167e+00	1.334842e-02
5.882404168216188e-03	-5.296167e+00	9.135128e+00
5.882796142370943e-03	-5.311846e+00	1.249460e+01
5.882810138102801e-03	-5.312406e+00	1.257296e+01
5.882838129566518e-03	-5.313525e+00	1.263634e+01
5.882886645945708e-03	-5.315466e+00	1.267163e+01
5.882930071683052e-03	-5.317203e+00	1.267579e+01
5.882977083229018e-03	-5.319083e+00	1.267545e+01
5.999000000600011e-03	-9.960000e+00	1.267545e+01
6.000000000600011e-03	-1.000000e+01	1.267545e+01
6.000100000600012e-03	-9.996000e+00	1.267545e+01
6.000300000600011e-03	-9.988000e+00	1.267545e+01
6.053185714885733e-03	-7.872571e+00	1.267545e+01
6.106071429171454e-03	-5.757143e+00	1.267545e+01
6.158957143457175e-03	-3.641714e+00	1.267545e+01
6.211842857742896e-03	-1.526286e+00	1.267545e+01
6.264728572028618e-03	5.891428e-01	1.267545e+01
6.317614286314339e-03	2.704571e+00	1.267545e+01
6.370500000600060e-03	4.820000e+00	1.267546e+01
6.371357143457203e-03	4.854286e+00	1.267545e+01
6.372214286314347e-03	4.888572e+00	1.267545e+01
6.373071429171489e-03	4.922857e+00	1.267546e+01
6.373928572028632e-03	4.957143e+00	1.267546e+01
6.374785714885775e-03	4.991429e+00	1.267546e+01
6.375642857742918e-03	5.025714e+00	1.267546e+01
6.376500000600061e-03	5.060000e+00	1.267546e+01
6.377500000600061e-03	5.100000e+00	1.267133e+01
6.378347297771848e-03	5.133892e+00	1.250104e+01
6.378776189284487e-03	5.151048e+00	1.205975e+01
6.379217910574980e-03	5.168716e+00	1.107335e+01
6.379681995210972e-03	5.187280e+00	9.395622e+00
6.380544377369539e-03	5.221775e+00	4.858004e+00
6.381497086628347e-03	5.259883e+00	-1.577485e+00
6.382382310903702e-03	5.295292e+00	-8.158052e+00
6.382879596909690e-03	5.315184e+00	-1.148590e+01
6.383183587165905e-03	5.327343e+00	-1.288598e+01
6.383291113924591e-03	5.331645e+00	-1.307672e+01
6.383358814157924e-03	5.334352e+00	-1.309016e+01
6.383440711058757e-03	5.337628e+00	-1.309853e+01
6.383553447083046e-03	5.342138e+00	-1.310518e+01
6.383814402421468e-03	5.352576e+00	-1.311175e+01
6.499000000600012e-03	9.960000e+00	-1.311523e+01
6.500000000600014e-03	1.000000e+01	-1.311609e+01
6.500000000610013e-03	1.000000e+01	-1.311609e+01
6.500000000694869e-03	1.000000e+01	-1.311609e+01
6.500000000779724e-03	1.000000e+01	-1.311609e+01
6.500000000864580e-03	1.000000e+01	-1.311609e+01
6.500000000949436e-03	1.000000e+01	-1.311609e+01
6.500000001034291e-03	1.000000e+01	-1.311609e+01
6.500000001119146e-03	1.000000e+01	-1.311609e+01
6.500000001204002e-03	1.000000e+01	-1.311609e+01
6.500000150924638e-03	9.999994e+00	-1.311600e+01
6.500000300645274e-03	9.999988e+00	-1.311592e+01
6.500000450365910e-03	9.999982e+00	-1.311584e+01
6.500000600086545e-03	9.999976e+00	-1.311578e+01
6.500000749807181e-03	9.999970e+00	-1.311572e+01
6.500000899527817e-03	9.999964e+00	-1.311567e+01
6.500001049248453e-03	9.999958e+00	-1.311564e+01
6.500002097804895e-03	9.999916e+00	-1.311544e+01
6.500004194917778e-03	9.999832e+00	-1.311528e+01
6.500008389143545e-03	9.999664e+00	-1.311522e+01
6.500016777595079e-03	9.999329e+00	-1.311522e+01
6.759073722488320e-03	-3.629489e-01	-1.311522e+01
6.874073722488335e-03	-4.962949e+00	-1.311521e+01
6.877073722488336e-03	-5.082949e+00	-1.310354e+01
6.878073722488336e-03	-5.122949e+00	-1.307068e+01
6.878727595948759e-03	-5.149104e+00	-1.298329e+01
6.879106659350095e-03	-5.164266e+00	-1.274957e+01
6.879382596684436e-03	-5.175304e+00	-1.229250e+01
6.879647817243147e-03	-5.185913e+00	-1.149356e+01
6.880090903680581e-03	-5.203636e+00	-9.492319e+00
6.880693615991335e-03	-5.227745e+00	-5.735288e+00
6.881404174800050e-03	-5.256167e+00	1.353664e-02
6.882404174800050e-03	-5.296167e+00	9.135274e+00
6.882796145973060e-03	-5.311846e+00	1.249462e+01
6.882810142404857e-03	-5.312406e+00	1.257298e+01
6.882838135268451e-03	-5.313525e+00	1.263634e+01
6.882886654137242e-03	-5.315466e+00	1.267163e+01
6.882930083576241e-03	-5.317204e+00	1.267579e+01
6.882977098376474e-03	-5.319084e+00	1.267545e+01
6.999000000700012e-03	-9.960000e+00	1.267545e+01
7.000000000700012e-03	-1.000000e+01	1.267545e+01
7.000100000700013e-03	-9.996000e+00	1.267545e+01
7.000300000700012e-03	-9.988000e+00	1.267545e+01
7.053185714985734e-03	-7.872571e+00	1.267545e+01
7.106071429271455e-03	-5.757143e+00	1.267545e+01
7.158957143557176e-03	-3.641714e+00	1.267545e+01
7.211842857842897e-03	-1.526286e+00	1.267545e+01
7.264728572128619e-03	5.891428e-01	1.267545e+01
7.317614286414340e-03	2.704571e+00	1.267545e+01
7.370500000700061e-03	4.820000e+00	1.267546e+01
7.371357143557204e-03	4.854286e+00	1.267545e+01
7.372214286414347e-03	4.888572e+00	1.267545e+01
7.373071429271490e-03	4.922857e+00	1.267546e+01
7.373928572128633e-03	4.957143e+00	1.267546e+01
7.374785714985775e-03	4.991429e+00	1.267546e+01
7.375642857842919e-03	5.025714e+00	1.267546e+01
7.376500000700062e-03	5.060000e+00	1.267546e+01
7.377500000700062e-03	5.100000e+00	1.267133e+01
